BT11,BT12,Lat,Long,cloud,Jd,In Situ,SVR,ANN,RF,Delta SVR,Delta ANN,Delta RF
24.188929,23.021967,11.804164,66.996567,1,81,28.799999,28.672,28.779,28.791,0.127999,0.020999,0.008999
2.037469,-0.645972,15.028212,63.998684,1,173,29.5,29.518,29.032,29.54,-0.018,0.468,-0.04
-42.517586,-46.002663,15.408824,68.601395,1,147,30.4,30.293,30.678,30.383,0.107,-0.278,0.017
24.065119,23.17721,21.57349,64.123947,1,89,27.700001,26.53,26.52,26.906,1.170001,1.180001,0.794001
21.42132,20.618677,15.482258,57.097935,0,347,26.1,26.56,26.096,26.176,-0.46,0.004,-0.076
-61.152321,-62.184685,9.424095,70.245239,1,149,29.5,29.562,29.82,29.546,-0.062,-0.32,-0.046
24.080683,23.220789,14.175792,66.458565,1,41,27.700001,27.459,27.039,27.593,0.241001,0.661001,0.107001
13.276148,11.865686,12.832182,69.808487,1,5,28.299999,27.729,27.93,28.197,0.570999,0.369999,0.102999
-50.293816,-51.654381,9.868081,71.757774,1,168,29.299999,29.174,28.995,29.306,0.125999,0.304999,-0.006001
25.327662,24.312647,12.88984,71.516182,1,313,29.4,29.43,29.224,29.24,-0.03,0.176,0.16
20.130854,18.439539,16.37977,68.007912,1,128,31.1,30.568,30.548,31.053,0.532,0.552,0.047
26.199884,25.510157,18.220041,66.554344,1,119,28.6,30.067,29.692,29.581,-1.467,-1.092,-0.981
15.752558,14.963739,14.9152,68.835541,1,1,27,26.849,26.971,26.968,0.151,0.029,0.032
14.169428,11.55401,7.50232,76.80117,1,245,28.299999,27.838,28.318,28.008,0.461999,-0.018001,0.291999
26.16839,25.15127,16.752806,68.513222,1,135,30.4,30.781,30.701,30.374,-0.381,-0.301,0.026
24.31283,23.248652,14.51209,67.404572,1,81,28.6,28.473,28.909,28.487,0.127,-0.309,0.113
21.558222,20.147882,10.243994,69.485809,1,5,27.4,28.295,27.984,27.588,-0.895,-0.584,-0.188
-4.781195,-5.141699,13.058284,73.649719,1,211,28.200001,28.183,27.873,28.222,0.017001,0.327001,-0.021999
5.387628,2.639337,12.974146,70.97451,1,316,29.299999,29.381,29.127,29.231,-0.081001,0.172999,0.068999
25.940058,25.451685,18.862946,67.199539,1,105,29.200001,29.123,29.028,29.431,0.077001,0.172001,-0.230999
22.955561,21.971643,21.405157,61.502285,0,330,26.799999,27.259,26.995,26.812,-0.459001,-0.195001,-0.012001
25.72024,25.061029,15.665362,67.108932,1,92,28.6,28.923,29.181,28.663,-0.323,-0.581,-0.063
-6.264716,-8.201178,18.678942,69.577347,1,163,30.700001,28.98,30.111,30.392,1.720001,0.589001,0.308001
17.313959,15.612146,6.904039,73.245789,1,36,28.1,27.929,28.332,28.018,0.171,-0.232,0.082
22.723932,21.80578,16.920399,68.113777,1,46,27.299999,26.782,26.643,27.241,0.517999,0.656999,0.058999
20.027033,18.56991,8.895344,69.84182,1,215,28.4,28.664,28.811,28.384,-0.264,-0.411,0.016
13.689844,11.781061,11.357244,71.17868,1,194,28.9,28.727,28.439,28.926,0.173,0.461,-0.026
20.643366,19.111628,9.228183,69.991982,1,151,29.799999,30.091,30.169,29.923,-0.291001,-0.369001,-0.123001
-31.569693,-34.863289,6.872626,76.672249,1,167,29.299999,29.465,29.166,29.348,-0.165001,0.133999,-0.048001
19.622919,17.3482,3.28164,65.52092,0,339,29.4,29.362,29.659,29.173,0.038,-0.259,0.227
19.548944,17.84524,12.685728,62.081917,0,251,26.4,26.612,26.961,26.562,-0.212,-0.561,-0.162
18.074854,15.58642,12.741306,72.999268,0,284,30.5,29.965,29.803,30.001,0.535,0.697,0.499
26.964289,25.954615,15.467852,68.17347,1,124,31.200001,30.697,30.381,31.208,0.503001,0.819001,-0.007999
-47.137199,-48.569603,10.35327,71.572968,1,203,28.4,28.303,27.997,28.35,0.097,0.403,0.05
6.782312,3.799158,16.782681,70.983665,1,186,28.4,28.633,28.753,28.504,-0.233,-0.353,-0.104
22.101282,20.573603,8.306255,72.785614,0,108,29.9,30.448,31.052,30.224,-0.548,-1.152,-0.324
2.985101,2.314172,7.739151,70.655144,1,88,30.799999,29.73,29.977,30.682,1.069999,0.822999,0.117999
19.8594,19.046534,19.747646,68.367958,1,49,25.1,25.675,25.73,25.248,-0.575,-0.63,-0.148
20.954554,19.302118,11.700388,70.230423,1,15,28.1,28.086,28.084,28.196,0.014,0.016,-0.096
-9.383642,-12.189672,13.509953,65.65918,1,187,28.6,28.628,28.282,28.59,-0.028,0.318,0.01
22.584864,20.687983,5.758018,63.662724,1,313,29.700001,28.915,28.684,29.389,0.785001,1.016001,0.311001
13.565638,11.924097,14.529593,70.655525,1,172,29.1,29.197,29.099,29.077,-0.097,0.001,0.023
-9.005835,-12.209906,11.255229,64.920387,1,181,29,28.897,28.554,28.995,0.103,0.446,0.005
-1.628729,-3.659491,11.897558,71.02562,1,190,28.9,28.635,28.386,28.9,0.265,0.514,0
20.737604,19.087336,5.462992,64.256256,1,40,28.1,28.006,28.006,28.039,0.094,0.094,0.061
-24.457525,-25.953741,14.096882,65.051819,1,183,29,28.98,28.377,28.997,0.02,0.623,0.003
13.596125,12.198359,17.067621,70.282234,1,180,28.5,28.616,28.883,28.609,-0.116,-0.383,-0.109
21.184961,19.543482,10.848947,64.289383,1,281,28.5,28.5,28.703,28.465,0,-0.203,0.035
19.987207,18.018305,7.735835,63.217159,0,231,28,28.294,28.597,28.094,-0.294,-0.597,-0.094
23.521601,23.521601,8.295911,73.058678,1,106,32.900002,30.33,30.697,31.482,2.570002,2.203002,1.418002
-10.012884,-13.577551,9.769198,73.602379,1,128,31.799999,30.88,30.719,31.661,0.919999,1.080999,0.138999
-8.215796,-8.374151,3.779107,74.332153,1,205,28.5,28.845,29.445,28.494,-0.345,-0.945,0.006
3.660791,0.383752,4.616017,64.550377,1,286,29.799999,29.501,29.629,29.397,0.298999,0.170999,0.402999
-51.492516,-52.458397,20.325745,62.313683,1,158,29.5,29.49,29.668,29.513,0.01,-0.168,-0.013
17.394007,15.406336,13.997079,70.994446,1,187,28.6,28.746,28.489,28.624,-0.146,0.111,-0.024
-4.874152,-7.618689,14.704139,69.602592,1,171,29,28.992,29.203,29.038,0.008,-0.203,-0.038
26.686823,26.2297,14.086958,65.72506,0,95,28.5,29.087,29.098,28.49,-0.587,-0.598,0.01
16.04867,13.241938,9.798017,67.534782,0,146,30.1,30.393,30.63,30.193,-0.293,-0.53,-0.093
20.278864,18.659571,8.840256,75.587273,1,307,28.6,28.296,28.6,28.483,0.304,0,0.117
17.442957,14.989893,3.859662,75.167564,1,271,29.799999,29.792,29.619,29.945,0.007999,0.180999,-0.145001
-31.430563,-33.303337,8.020662,74.87365,1,215,28.799999,28.372,28.075,28.825,0.427999,0.724999,-0.025001
7.776697,5.262689,9.433754,74.450851,1,169,29.299999,29.278,29.127,29.3,0.021999,0.172999,-1E-06
-37.422997,-38.791374,11.633179,73.609047,1,159,29.5,29.845,29.561,29.6,-0.345,-0.061,-0.1
-47.372307,-48.507805,9.719368,71.711624,1,206,28.1,28.247,27.961,28.087,-0.147,0.139,0.013
-61.417946,-62.806557,9.600602,71.792274,1,207,28,28.135,27.968,28.011,-0.135,0.032,-0.011
11.985773,10.30337,14.072686,73.238365,1,189,28.700001,28.66,28.435,28.543,0.040001,0.265001,0.157001
22.173944,20.498865,7.535999,63.506668,0,247,28.700001,28.982,29.161,28.862,-0.281999,-0.460999,-0.161999
22.840967,21.218531,8.345197,72.760796,1,70,28.799999,29.339,29.305,28.905,-0.539001,-0.505001,-0.105001
20.278162,18.514643,10.895866,69.112625,1,219,28.5,28.427,28.275,28.361,0.073,0.225,0.139
-37.925987,-38.971321,4.918532,70.873886,1,198,28.799999,28.929,29.099,28.914,-0.129001,-0.299001,-0.114001
19.948114,17.485315,17.364712,70.777161,0,170,30.200001,30.369,29.946,30.276,-0.168999,0.254001,-0.075999
23.570154,22.632196,12.231322,69.436356,1,22,28.1,28.022,28.02,28.075,0.078,0.08,0.025
21.898951,20.133142,12.622349,70.178734,1,322,28.6,29.135,28.833,28.654,-0.535,-0.233,-0.054
9.612238,7.012475,11.639701,70.291817,1,14,28,28.111,28.126,28.022,-0.111,-0.126,-0.022
7.727014,7.0021,16.67626,70.999161,1,172,30.1,28.814,29.204,30.224,1.286,0.896,-0.124
23.697992,22.261469,4.172216,67.183868,0,320,29.5,29.962,29.843,29.564,-0.462,-0.343,-0.064
-3.139563,-5.264441,4.764225,64.567268,1,349,28.299999,28.473,28.59,28.353,-0.173001,-0.290001,-0.053001
-38.611015,-41.477745,13.976221,70.83461,1,167,29.6,29.944,29.397,29.518,-0.344,0.203,0.082
22.769007,21.811487,18.432358,69.015533,0,20,26.299999,25.891,25.815,26.281,0.408999,0.484999,0.018999
19.845301,18.109888,8.677032,63.59877,1,170,28.5,29.076,28.966,28.555,-0.576,-0.466,-0.055
21.217096,19.327173,7.432319,71.38443,1,221,29,28.783,29.051,28.966,0.217,-0.051,0.034
